1730588846.105114 server started (63221): version 3.5a, socket /private/tmp/tmux-501/default, protocol 8
1730588846.105152 on Darwin 24.0.0 Darwin Kernel Version 24.0.0: Tue Sep 24 23:37:36 PDT 2024; root:xnu-11215.1.12~1/RELEASE_ARM64_T6020
1730588846.105162 using libevent 2.1.12-stable select
1730588846.105172 using utf8proc 2.9.0
1730588846.105179 using ncurses 6.5 20240427
1730588846.105391 input_key_build: 0x10e1ad (KP*) is *
1730588846.105396 input_key_build: 0x10e1ae (KP-) is -
1730588846.105402 input_key_build: 0x10e1af (KP7) is 7
1730588846.105407 input_key_build: 0x10e1b0 (KP8) is 8
1730588846.105412 input_key_build: 0x10e1b1 (KP9) is 9
1730588846.105418 input_key_build: 0x10e1b2 (KP+) is +
1730588846.105423 input_key_build: 0x10e1b3 (KP4) is 4
1730588846.105428 input_key_build: 0x10e1b4 (KP5) is 5
1730588846.105433 input_key_build: 0x10e1b5 (KP6) is 6
1730588846.105439 input_key_build: 0x10e1b6 (KP1) is 1
1730588846.105444 input_key_build: 0x10e1b7 (KP2) is 2
1730588846.105449 input_key_build: 0x10e1b8 (KP3) is 3
1730588846.105455 input_key_build: 0x10e1b9 (KPEnter) is \n
1730588846.105460 input_key_build: 0x10e1ba (KP0) is 0
1730588846.105465 input_key_build: 0x10e1bb (KP.) is .
1730588846.105471 input_key_build: 0x20000010e195 (C-F1) is \033[1;5P
1730588846.105483 input_key_build: 0x20000010e196 (C-F2) is \033[1;5Q
1730588846.105489 input_key_build: 0x20000010e197 (C-F3) is \033[1;5R
1730588846.105494 input_key_build: 0x20000010e198 (C-F4) is \033[1;5S
1730588846.105500 input_key_build: 0x20000010e199 (C-F5) is \033[15;5~
1730588846.105505 input_key_build: 0x20000010e19a (C-F6) is \033[17;5~
1730588846.105510 input_key_build: 0x20000010e19b (C-F7) is \033[18;5~
1730588846.105516 input_key_build: 0x20000010e19c (C-F8) is \033[19;5~
1730588846.105521 input_key_build: 0x20000010e19d (C-F9) is \033[20;5~
1730588846.105527 input_key_build: 0x20000010e19e (C-F10) is \033[21;5~
1730588846.105532 input_key_build: 0x20000010e19f (C-F11) is \033[23;5~
1730588846.105537 input_key_build: 0x20000010e1a0 (C-F12) is \033[24;5~
1730588846.105543 input_key_build: 0x20000010e1a1 (C-IC) is \033[2;5~
1730588846.105548 input_key_build: 0x20000010e1a2 (C-DC) is \033[3;5~
1730588846.105553 input_key_build: 0x20000010e1a3 (C-Home) is \033[1;5H
1730588846.105559 input_key_build: 0x20000010e1a4 (C-End) is \033[1;5F
1730588846.105564 input_key_build: 0x20000010e1a5 (C-NPage) is \033[6;5~
1730588846.105570 input_key_build: 0x20000010e1a6 (C-PPage) is \033[5;5~
1730588846.105575 input_key_build: 0x20000010e1a8 (C-Up) is \033[1;5A
1730588846.105588 input_key_build: 0x20000010e1a9 (C-Down) is \033[1;5B
1730588846.105592 input_key_build: 0x20000010e1aa (C-Left) is \033[1;5D
1730588846.105596 input_key_build: 0x20000010e1ab (C-Right) is \033[1;5C
1730588846.105600 input_key_build: 0x40000010e195 (S-F1) is \033[1;2P
1730588846.105604 input_key_build: 0x40000010e196 (S-F2) is \033[1;2Q
1730588846.105608 input_key_build: 0x40000010e197 (S-F3) is \033[1;2R
1730588846.105612 input_key_build: 0x40000010e198 (S-F4) is \033[1;2S
1730588846.105616 input_key_build: 0x40000010e199 (S-F5) is \033[15;2~
1730588846.105620 input_key_build: 0x40000010e19a (S-F6) is \033[17;2~
1730588846.105624 input_key_build: 0x40000010e19b (S-F7) is \033[18;2~
1730588846.105628 input_key_build: 0x40000010e19c (S-F8) is \033[19;2~
1730588846.105632 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1730588846.105636 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1730588846.105640 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1730588846.105644 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1730588846.105648 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1730588846.105652 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1730588846.105656 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1730588846.105660 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1730588846.105664 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1730588846.105668 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1730588846.105672 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1730588846.105677 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1730588846.105681 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1730588846.105685 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1730588846.105689 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1730588846.105693 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1730588846.105697 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1730588846.105701 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1730588846.105705 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1730588846.105709 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1730588846.105713 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1730588846.105717 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1730588846.105721 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1730588846.105725 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1730588846.105729 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1730588846.105733 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1730588846.105737 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1730588846.105741 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1730588846.105745 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1730588846.105750 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1730588846.105754 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1730588846.105758 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1730588846.105762 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1730588846.105766 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1730588846.105770 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1730588846.105774 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1730588846.105779 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1730588846.105783 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1730588846.105787 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1730588846.105791 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1730588846.105795 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1730588846.105800 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1730588846.105804 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1730588846.105808 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1730588846.105812 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1730588846.105816 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1730588846.105826 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1730588846.105830 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1730588846.105834 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1730588846.105838 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1730588846.105842 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1730588846.105846 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1730588846.105850 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1730588846.105854 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1730588846.105858 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1730588846.105862 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1730588846.105866 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1730588846.105870 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1730588846.105874 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1730588846.105878 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1730588846.105882 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1730588846.105886 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1730588846.105890 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1730588846.105894 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1730588846.105898 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1730588846.105902 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1730588846.105906 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1730588846.105910 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1730588846.105914 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1730588846.105918 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1730588846.105922 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1730588846.105926 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1730588846.105930 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1730588846.105934 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1730588846.105938 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1730588846.105942 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1730588846.105946 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1730588846.105950 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1730588846.105955 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1730588846.105958 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1730588846.105963 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1730588846.105966 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1730588846.105970 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1730588846.105974 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1730588846.105978 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1730588846.105982 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1730588846.105986 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1730588846.105990 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1730588846.105994 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1730588846.105998 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1730588846.106002 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1730588846.106006 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1730588846.106010 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1730588846.106014 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1730588846.106018 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1730588846.106022 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1730588846.106026 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1730588846.106030 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1730588846.106034 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1730588846.106038 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1730588846.106047 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1730588846.106052 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1730588846.106056 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1730588846.106059 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1730588846.106063 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1730588846.106067 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1730588846.106071 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1730588846.106075 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1730588846.106079 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1730588846.106083 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1730588846.106087 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1730588846.106091 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1730588846.106095 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1730588846.106099 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1730588846.106103 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1730588846.106108 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1730588846.106112 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1730588846.106116 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1730588846.106120 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1730588846.106126 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1730588846.106130 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1730588846.106134 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1730588846.106138 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1730588846.106142 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1730588846.106146 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1730588846.106150 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1730588846.106154 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1730588846.106158 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1730588846.106162 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1730588846.106166 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1730588846.106170 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1730588846.106174 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1730588846.106178 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1730588846.106182 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1730588846.106186 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1730588846.106190 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1730588846.106194 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1730588846.106198 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1730588846.106202 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1730588846.106206 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1730588846.106210 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1730588846.106214 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1730588846.106218 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1730588846.106222 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1730588846.106231 yylex_token: end at WS
1730588846.106235 yylex_token: bind
1730588846.106240 yylex_token: end at WS
1730588846.106243 yylex_token: -N
1730588846.106249 yylex_token: end at WS
1730588846.106253 yylex_token: Send the prefix key
1730588846.106257 yylex_token: end at WS
1730588846.106263 yylex_token: C-b
1730588846.106268 yylex_token: end at WS
1730588846.106276 yylex_token: send-prefix
1730588846.106284 cmd_parse_build_commands 0:0: bind
1730588846.106289 cmd_parse_build_commands 0:1: -N
1730588846.106295 cmd_parse_build_commands 0:2: Send the prefix key
1730588846.106300 cmd_parse_build_commands 0:3: C-b
1730588846.106306 cmd_parse_build_commands 0:4 0:0: send-prefix
1730588846.106329 cmd_parse_build_commands 0:0: send-prefix
1730588846.106339 args_parse: flags end at 1 of 1
1730588846.106346 cmd_parse_build_commands: send-prefix
1730588846.106352 args_parse_flags: next -N
1730588846.106358 args_parse_flag_argument: -N = Send the prefix key
1730588846.106364 args_parse_flags: next C-b
1730588846.106369 args_parse: flags end at 3 of 5
1730588846.106374 args_parse: 3 = C-b (type STRING)
1730588846.106382 args_parse: 4 = send-prefix (type COMMANDS)
1730588846.106398 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1730588846.106407 cmdq_get_command: [bind-key/0x148608170] group 2
1730588846.106414 cmdq_append <global>: [bind-key/0x148608170]
1730588846.106419 yylex_token: end at WS
1730588846.106425 yylex_token: bind
1730588846.106431 yylex_token: end at WS
1730588846.106435 yylex_token: -N
1730588846.106442 yylex_token: end at WS
1730588846.106447 yylex_token: Rotate through the panes
1730588846.106452 yylex_token: end at WS
1730588846.106457 yylex_token: C-o
1730588846.106463 yylex_token: end at WS
1730588846.106472 yylex_token: rotate-window
1730588846.106478 cmd_parse_build_commands 0:0: bind
1730588846.106484 cmd_parse_build_commands 0:1: -N
1730588846.106489 cmd_parse_build_commands 0:2: Rotate through the panes
1730588846.106494 cmd_parse_build_commands 0:3: C-o
1730588846.106501 cmd_parse_build_commands 0:4 0:0: rotate-window
1730588846.106509 cmd_parse_build_commands 0:0: rotate-window
1730588846.106516 args_parse: flags end at 1 of 1
1730588846.106524 cmd_parse_build_commands: rotate-window
1730588846.106530 args_parse_flags: next -N
1730588846.106535 args_parse_flag_argument: -N = Rotate through the panes
1730588846.106540 args_parse_flags: next C-o
1730588846.106545 args_parse: flags end at 3 of 5
1730588846.106551 args_parse: 3 = C-o (type STRING)
1730588846.106557 args_parse: 4 = rotate-window (type COMMANDS)
1730588846.106570 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1730588846.106579 cmdq_get_command: [bind-key/0x1486086e0] group 10
1730588846.106585 cmdq_append <global>: [bind-key/0x1486086e0]
1730588846.106591 yylex_token: end at WS
1730588846.106597 yylex_token: bind
1730588846.106604 yylex_token: end at WS
1730588846.106610 yylex_token: -N
1730588846.106619 yylex_token: end at WS
1730588846.106624 yylex_token: Suspend the current client
1730588846.106629 yylex_token: end at WS
1730588846.106634 yylex_token: C-z
1730588846.106640 yylex_token: end at WS
1730588846.106645 yylex_token: suspend-client
1730588846.106652 cmd_parse_build_commands 0:0: bind
1730588846.106659 cmd_parse_build_commands 0:1: -N
1730588846.106666 cmd_parse_build_commands 0:2: Suspend the current client
1730588846.106672 cmd_parse_build_commands 0:3: C-z
1730588846.106678 cmd_parse_build_commands 0:4 0:0: suspend-client
1730588846.106686 cmd_parse_build_commands 0:0: suspend-client
1730588846.106693 args_parse: flags end at 1 of 1
1730588846.106700 cmd_parse_build_commands: suspend-client
1730588846.106705 args_parse_flags: next -N
1730588846.106710 args_parse_flag_argument: -N = Suspend the current client
1730588846.106716 args_parse_flags: next C-z
1730588846.106721 args_parse: flags end at 3 of 5
1730588846.106727 args_parse: 3 = C-z (type STRING)
1730588846.106733 args_parse: 4 = suspend-client (type COMMANDS)
1730588846.106746 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1730588846.106754 cmdq_get_command: [bind-key/0x148608a30] group 18
1730588846.106760 cmdq_append <global>: [bind-key/0x148608a30]
1730588846.106766 yylex_token: end at WS
1730588846.106771 yylex_token: bind
1730588846.106776 yylex_token: end at WS
1730588846.106781 yylex_token: -N
1730588846.106788 yylex_token: end at WS
1730588846.106793 yylex_token: Select next layout
1730588846.106799 yylex_token: end at WS
1730588846.106805 yylex_token: Space
1730588846.106811 yylex_token: end at WS
1730588846.106816 yylex_token: next-layout
1730588846.106823 cmd_parse_build_commands 0:0: bind
1730588846.106836 cmd_parse_build_commands 0:1: -N
1730588846.106841 cmd_parse_build_commands 0:2: Select next layout
1730588846.106847 cmd_parse_build_commands 0:3: Space
1730588846.106853 cmd_parse_build_commands 0:4 0:0: next-layout
1730588846.106860 cmd_parse_build_commands 0:0: next-layout
1730588846.106866 args_parse: flags end at 1 of 1
1730588846.106873 cmd_parse_build_commands: next-layout
1730588846.106878 args_parse_flags: next -N
1730588846.106884 args_parse_flag_argument: -N = Select next layout
1730588846.106889 args_parse_flags: next Space
1730588846.106894 args_parse: flags end at 3 of 5
1730588846.106899 args_parse: 3 = Space (type STRING)
1730588846.106905 args_parse: 4 = next-layout (type COMMANDS)
1730588846.106917 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1730588846.106925 cmdq_get_command: [bind-key/0x148608e70] group 26
1730588846.106930 cmdq_append <global>: [bind-key/0x148608e70]
1730588846.106936 yylex_token: end at WS
1730588846.106941 yylex_token: bind
1730588846.106946 yylex_token: end at WS
1730588846.106951 yylex_token: -N
1730588846.106958 yylex_token: end at WS
1730588846.106963 yylex_token: Break pane to a new window
1730588846.106969 yylex_token: end at WS
1730588846.106974 yylex_token: !
1730588846.106980 yylex_token: end at WS
1730588846.106985 yylex_token: break-pane
1730588846.106991 cmd_parse_build_commands 0:0: bind
1730588846.106998 cmd_parse_build_commands 0:1: -N
1730588846.107003 cmd_parse_build_commands 0:2: Break pane to a new window
1730588846.107009 cmd_parse_build_commands 0:3: !
1730588846.107015 cmd_parse_build_commands 0:4 0:0: break-pane
1730588846.107023 cmd_parse_build_commands 0:0: break-pane
1730588846.107029 args_parse: flags end at 1 of 1
1730588846.107037 cmd_parse_build_commands: break-pane
1730588846.107044 args_parse_flags: next -N
1730588846.107051 args_parse_flag_argument: -N = Break pane to a new window
1730588846.107056 args_parse_flags: next !
1730588846.107063 args_parse: flags end at 3 of 5
1730588846.107069 args_parse: 3 = ! (type STRING)
1730588846.107075 args_parse: 4 = break-pane (type COMMANDS)
1730588846.107087 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1730588846.107095 cmdq_get_command: [bind-key/0x1486092a0] group 34
1730588846.107101 cmdq_append <global>: [bind-key/0x1486092a0]
1730588846.107107 yylex_token: end at WS
1730588846.107112 yylex_token: bind
1730588846.107118 yylex_token: end at WS
1730588846.107123 yylex_token: -N
1730588846.107130 yylex_token: end at WS
1730588846.107136 yylex_token: Split window vertically
1730588846.107142 yylex_token: end at WS
1730588846.107147 yylex_token: "
1730588846.107155 yylex_token: end at WS
1730588846.107161 yylex_token: split-window
1730588846.107170 cmd_parse_build_commands 0:0: bind
1730588846.107177 cmd_parse_build_commands 0:1: -N
1730588846.107184 cmd_parse_build_commands 0:2: Split window vertically
1730588846.107190 cmd_parse_build_commands 0:3: "
1730588846.107195 cmd_parse_build_commands 0:4 0:0: split-window
1730588846.107203 cmd_parse_build_commands 0:0: split-window
1730588846.107210 args_parse: flags end at 1 of 1
1730588846.107217 cmd_parse_build_commands: split-window
1730588846.107222 args_parse_flags: next -N
1730588846.107227 args_parse_flag_argument: -N = Split window vertically
1730588846.107232 args_parse_flags: next "
1730588846.107237 args_parse: flags end at 3 of 5
1730588846.107242 args_parse: 3 = " (type STRING)
1730588846.107248 args_parse: 4 = split-window (type COMMANDS)
1730588846.107260 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1730588846.107267 cmdq_get_command: [bind-key/0x148609520] group 42
1730588846.107274 cmdq_append <global>: [bind-key/0x148609520]
1730588846.107280 yylex_token: end at WS
1730588846.107286 yylex_token: bind
1730588846.107291 yylex_token: end at WS
1730588846.107297 yylex_token: -N
1730588846.107303 yylex_token: end at WS
1730588846.107308 yylex_token: List all paste buffers
1730588846.107313 yylex_token: end at WS
1730588846.107325 yylex_token: #
1730588846.107331 yylex_token: end at WS
1730588846.107337 yylex_token: list-buffers
1730588846.107343 cmd_parse_build_commands 0:0: bind
1730588846.107349 cmd_parse_build_commands 0:1: -N
1730588846.107354 cmd_parse_build_commands 0:2: List all paste buffers
1730588846.107359 cmd_parse_build_commands 0:3: #
1730588846.107364 cmd_parse_build_commands 0:4 0:0: list-buffers
1730588846.107371 cmd_parse_build_commands 0:0: list-buffers
1730588846.107378 args_parse: flags end at 1 of 1
1730588846.107384 cmd_parse_build_commands: list-buffers
1730588846.107389 args_parse_flags: next -N
1730588846.107394 args_parse_flag_argument: -N = List all paste buffers
1730588846.107399 args_parse_flags: next #
1730588846.107404 args_parse: flags end at 3 of 5
1730588846.107410 args_parse: 3 = # (type STRING)
1730588846.107416 args_parse: 4 = list-buffers (type COMMANDS)
1730588846.107429 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1730588846.107436 cmdq_get_command: [bind-key/0x1486097f0] group 50
1730588846.107442 cmdq_append <global>: [bind-key/0x1486097f0]
1730588846.107449 yylex_token: end at WS
1730588846.107454 yylex_token: bind
1730588846.107460 yylex_token: end at WS
1730588846.107465 yylex_token: -N
1730588846.107473 yylex_token: end at WS
1730588846.107479 yylex_token: Rename current session
1730588846.107484 yylex_token: end at WS
1730588846.107488 yylex_token: $
1730588846.107494 yylex_token: end at WS
1730588846.107499 yylex_token: command-prompt
1730588846.107504 yylex_token: end at WS
1730588846.107509 yylex_token: -I#S
1730588846.107515 yylex_token: end at WS
1730588846.107520 yylex_token: rename-session
1730588846.107525 yylex_token: end at WS
